quality_tier,quality_score,registry_journal,title,year,doi,url,rights_class,topics,dossier_use_buckets,matched_query,abstract
A,13,Cosmetics,A Split-Face Comparison of Novel Microneedle Patch versus Botulinum Toxin-A and Microneedle Patch for Improvement in Undereye Skin Texture,2024,10.3390/cosmetics11030100,https://doi.org/10.3390/cosmetics11030100,open_access_cc_by,combination_therapy; injectables_neurotoxins,clinical_gateway_source; safety_floor; sales_education_support; combination_observation; timing_maintenance; structured_taxonomy_support,botulinum toxin filler combination,"(1) Background: The emergence of microneedle patch technology and its development as a transdermal drug delivery platform have shown proven results in improving skin texture and appearance. This study was conducted to determine the efficacy of the microneedle patch (MNP)-only cosmesis of undereye skin texture and wrinkles against patch cosmesis with diluted botulinum toxin-A. (2) Methods: A total of 23 Thai females volunteered for this prospective clinical trial. Each participant was treated according to a split-face design, with the application of diluted botulinum toxin-A through MNP technology to the right undereye and a normal saline MNP application to the left undereye. Test areas were recorded at baseline and 2, 4, 8, 12, and 16 weeks after the initial treatment. (3) Results: Botulinum toxin-A was successfully delivered to the skin by MNP technology. After the initial treatment, these novel transdermal drug delivery patches significantly improved infraorbital hollowness at week 8 and wrinkles at week 16. In addition, the skin surface was markedly enhanced, with no adverse effects observed during the trial. (4) Conclusions: Novel MNPs are an effective and safe technology for use in the management of undereye skin aging. Combination treatment with botulinum toxin-A-impregnated devices gave a higher patient satisfaction than MNPs alone."
A,13,Cosmetics,Anti-Photoaging Effects of Kaempferia galanga Extract: From Cell-Based Studies to Microemulsion Development,2026,10.3390/cosmetics13020099,https://doi.org/10.3390/cosmetics13020099,open_access_cc_by,combination_therapy; lasers_energy_devices; skin_quality_peels,clinical_gateway_source; safety_floor; sales_education_support; combination_observation; timing_maintenance,chemical peel photoaging,"Ozone layer depletion exacerbates UV-induced skin damage, including oxidative stress and DNA lesions, thereby increasing the risk of photoaging and malignant transformation. Natural extracts have gained increasing attention as a photoprotective ingredient in cosmeceutical products. Kaempferia galanga, a species in the Zingiberaceae family traditionally used for skin-related treatment and listed in the CosIng database, exhibits multiple biologically relevant properties; however, its anti-photoaging and anti-photo-senescence effects in human dermal fibroblasts remain unexplored. This study investigated the in vitro photoprotective effects of K. galanga extract against UVB-induced photoaging and cellular senescence in human dermal fibroblasts. The ethanolic extract of K. galanga rhizomes (EKGRs) contained ethyl p-methoxycinnamate (EPMC) as a major constituent (33.7 ± 3.7% (w/w) of the crude extract), identified by HPLC-UV. Additionally, EKGR exhibited significant protective effects in UVB-irradiated fibroblasts. EKGR showed no cytotoxicity at concentrations up to 50.0 µg/mL, as determined by the MTT assay. EKGR pretreatment significantly reduced UVB-induced cellular senescence in human dermal fibroblasts compared with UVB-exposed cells (22.2 ± 2.7% vs. 36.7 ± 8.0%). Furthermore, pretreatment with EKGR prior to UVB exposure resulted in a significant increase in pro-collagen type I production (37,075.1 ± 7532.2 pg/mL) and a concomitant decrease in MMP-1 secretion (25,754.1 ± 4042.0 pg/mL) relative to UVB-exposed cells (26,845.8 ± 1454.6 and 39,910.8 ± 6035.1 pg/mL, respectively). To demonstrate formulation feasibility, EKGR was incorporated into an oil-in-water microemulsion, which exhibited concentration-dependent SPF enhancement. Collectively, these findings demonstrate the photoprotective efficacy of EPMC-rich EKGR and highlight its potential as a cosmeceutical ingredient for mitigating UVB-induced photo-senescence and skin aging, with an additional SPF boosting effect. To our knowledge, this study provides the first evidence of EKGR-mediated protection against UVB-induced cellular senescence in human dermal fibroblasts."
A,13,Cosmetics,Bioactive Proteolytic Enzymes Chymotrypsin and Papain as Adjuvants to Laser Hair Removal: Reducing the Risk of Paradoxical Hypertrichosis in Women with Facial Hirsutism,2026,10.3390/cosmetics13020074,https://doi.org/10.3390/cosmetics13020074,open_access_cc_by,combination_therapy; lasers_energy_devices,clinical_gateway_source; safety_floor; sales_education_support; combination_observation; timing_maintenance,laser hair removal,"Paradoxical hypertrichosis is an adverse effect of photo-epilation, involving the induction of hair growth within treated or adjacent non-treated areas. Given the significant psychosocial burden associated with facial hair growth in women, effective adjunctive strategies to mitigate this phenomenon are required. Chymotrypsin and papain are bioactive proteolytic enzymes whose activity has been associated with structural alterations in hair follicle components. This study investigated the effect of combining Alexandrite laser with enzyme-assisted hair removal compared with laser alone on the occurrence of paradoxical hypertrichosis. The outcome was assessed by recording the number of laser pulses performed per treatment session. Fifty-nine adult Greek women with facial hirsutism were allocated into two groups: Group I (Laser + Enzymes, n = 30), treated with Alexandrite laser (755 nm) combined with iontophoretic delivery of aqueous chymotrypsin and papain solutions, and Group II (Laser, n = 29), treated with laser alone. After 10 sessions, the combined intervention resulted in a significantly greater change in laser pulse counts compared with laser alone (−18.53 ± 16.31 vs. +1.68 ± 9.61, p < 0.005). This finding suggests that adjunctive iontophoresis of bioactive proteolytic enzymes is associated with reduced laser pulse requirements, which may be considered in the clinical management of paradoxical hypertrichosis in women with facial hirsutism. Larger studies with extended follow-up are warranted."
A,13,Cosmetics,Carbon Dioxide Laser Vulvovaginal Rejuvenation: A Systematic Review,2021,10.3390/cosmetics8030056,https://doi.org/10.3390/cosmetics8030056,open_access_cc_by,combination_therapy; lasers_energy_devices; rf_microneedling_ultrasound,clinical_gateway_source; safety_floor; sales_education_support; combination_observation,multimodal facial rejuvenation,"Genitourinary syndrome of menopause (GSM) causes significant symptomatic aggravation that affects the quality of life (QoL). Vulvovaginal atrophy (VVA), the hallmark of GSM, is managed with topical non-hormonal therapy, including moisturizers and lubricants, and topical estrogen application. Patients not responding/being unsatisfied with previous local estrogen therapies are candidates for a noninvasive modality. Carbon dioxide (CO2) laser therapy, especially the fractionated type (FrCO2), has drawn considerable attention over the past two decades as a non-invasive treatment for GSM. This systematic review describes the accumulated evidence from 40 FrCO2 laser studies (3466 participants) in GSM/VVA. MEDLINE, Scopus and Cochrane databases were searched through April 2021. We analyze the effects of FrCO2 laser therapy on symptoms, sexual function, and QoL of patients with GSM/VVA. As shown in this review, FrCO2 laser therapy for GSM shows good efficacy and safety. This modality has the potential to advance female sexual wellness. Patient satisfaction was high in the studies included in this systematic review. However, there is a lack of level I evidence, and more randomized sham-controlled trials are required. Furthermore, several clinical questions, such as the number of sessions required that determine cost-effectiveness, should be addressed. Also, whether FrCO2 laser therapy may exert a synergistic effect with systemic and/or local hormonal/non-hormonal treatments, energy-based devices, and other modalities to treat GMS requires further investigation. Lastly, studies are required to compare FrCO2 laser therapy with other energy-based devices such as erbium:YAG laser and radiofrequency."
A,13,Cosmetics,"Effects of CE Ferulic® Combined with Microneedling in the Treatment of Pigmentary Disorders: A Monocentric, Split Face, Comparative Study",2024,10.3390/cosmetics11030101,https://doi.org/10.3390/cosmetics11030101,open_access_cc_by,combination_therapy; lasers_energy_devices; rf_microneedling_ultrasound,clinical_gateway_source; safety_floor; sales_education_support; combination_observation; timing_maintenance,radiofrequency microneedling aesthetic,"Pigmentary disorders of the face present a significant challenge in dermatology, impacting the confidence and well-being of affected individuals. Various approaches have been developed to address these concerns, including microneedling and topical vitamin C products. This study involved 15 participants undergoing three treatment sessions over 12 weeks, assessing the efficacy of a combined microneedling and CE Ferulic® serum approach. Clinical evaluation and statistical analysis were conducted before and after the intervention. Significant improvement of akin hyperpigmentation was observed, particularly on the side treated with microneedling and CE Ferulic® serum compared to microneedling alone. The integrated treatment protocol demonstrated a synergistic effect in improving skin texture and appearance. Integrated treatment protocols, such as combining microneedling with CE Ferulic® serum, show promise in managing facial hyperpigmentation disorders. Further research with larger cohorts is warranted to validate these findings and optimize treatment strategies, highlighting the potential of combined therapeutic modalities for achieving optimal clinical outcomes in pigmentary disorder management."
A,13,Cosmetics,Efficacy and Safety of Combination Therapy of Intense Pulsed Light and Topical Tranexamic Acid in the Treatment of Melasma,2026,10.3390/cosmetics13020098,https://doi.org/10.3390/cosmetics13020098,open_access_cc_by,combination_therapy; lasers_energy_devices; skin_quality_peels,clinical_gateway_source; safety_floor; sales_education_support; combination_observation,melasma aesthetic treatment,"Background: Melasma is a chronic hypermelanosis requiring effective therapies. Methods: This prospective, randomized controlled trial evaluated intense pulsed light (IPL) and topical tranexamic acid (TXA) versus IPL with placebo. Thirty-three patients completed the 5-month study (group A: TXA + IPL, n = 17; group B: Placebo + IPL, n = 16). Outcome included VISIA analysis, modified Melasma Area and Severity Index (mMASI), skin melanin index (MI) and erythema index (EI) measurement. Results: At Month 5, both groups showed improved mMASI scores; however, group A demonstrated a significantly greater reduction than group B (−50.52% vs. −38.49%; mean difference −12.03%, 95% CI −23.74% to −0.32%; p < 0.05). Excellent improvement was achieved in 70.59% of Group A versus 25% of Group B. Furthermore, Group A exhibited a significant decrease in MI (−36.31%) compared to a negligible change in Group B (−1.28%), with a significant between-group difference (p = 0.02). VISIA analysis confirmed superior improvements in brown spots and texture for Group A (p < 0.05). No adverse events occurred. Conclusions: Combining topical TXA with IPL is a safe and significantly more effective treatment for melasma than IPL alone, offering superior pigment reduction without increased risks."
A,13,Cosmetics,Exploratory Evaluation of a Hyper-Diluted Calcium Hydroxyapatite–Hyaluronic Acid Combination for Facial Rejuvenation: A Pilot Study,2025,10.3390/cosmetics12050212,https://doi.org/10.3390/cosmetics12050212,open_access_cc_by,combination_therapy; dermal_fillers; rf_microneedling_ultrasound,clinical_gateway_source; safety_floor; sales_education_support; combination_observation; timing_maintenance; structured_taxonomy_support,multimodal facial rejuvenation,"Facial aging results from intrinsic and extrinsic factors causing soft tissue volume loss, skin laxity, and wrinkles; minimally invasive fillers combining calcium hydroxyapatite (CaHA) and hyaluronic acid (HA) may mitigate these changes. This pilot study explored the feasibility, safety, and preliminary efficacy of a hyper-diluted 1:1 CaHA-HA combination in nine patients (30–65 years) with mild-to-moderate facial volume loss and laxity. Injections were delivered to affected areas using blunt-tip cannulas and fine needles. Clinical outcomes were measured with the Merz Aesthetic Scale (MAS), Wrinkle Severity Rating Scale (WSRS), and Global Aesthetic Improvement Scale (GAIS), while adverse events and patient satisfaction were recorded. MAS showed notable improvements in upper cheek fullness, lower cheek fullness, and jawline contour (+0.94, +0.94, and +0.89, respectively), and WSRS nasolabial fold severity decreased from 3.28 ± 0.18 to 2.50 ± 0.00 (p < 0.0001) with large effect sizes (Cohen’s d > 5.0). All patients rated themselves “very improved” on GAIS; no adverse events were reported, and satisfaction was high. These preliminary findings suggest that hyper-diluted CaHA–HA may be a safe and promising minimally invasive approach for facial rejuvenation, although confirmation in larger, controlled studies with longer follow-up is required."
A,13,Cosmetics,Prospective Multicentre Real-World Study of a Bioregenerative Combination Therapy with Polynucleotide High-Purification Technology (PN HPT™) and Hyaluronic Acid for Moderate-to-Severe Atrophic Facial Acne Scars,2025,10.3390/cosmetics13010001,https://doi.org/10.3390/cosmetics13010001,open_access_cc_by,combination_therapy; dermal_fillers; regenerative_prp; skin_quality_peels,clinical_gateway_source; safety_floor; sales_education_support; combination_observation; timing_maintenance,polynucleotide aesthetic,"Background: Facial atrophic acne scars have a significant impact on patients’ psychosocial well-being and remain a therapeutic challenge. Existing treatments options are frequently limited by modest efficacy and adverse effects. The combination of Polynucleotide High-Purification Technology (PN HPT™) and hyaluronic acid (HA) represents a novel bioregenerative strategy aimed at improving dermal remodelling and overall skin quality. Methods: This six-month, prospective, real-world study evaluated the efficacy and safety of Newest® (Mastelli S.r.l., Sanremo, Italy), a sterile intradermal gel containing highly purified polynucleotides (10 mg/mL) and HA (10 mg/mL). Eligible participants, aged 20–60 years with moderate-to-severe atrophic facial post-acne scars, underwent four treatment sessions in two-week intervals. Efficacy was assessed using the Acne Scar Assessment Scale (ASAS) and Global Aesthetic Improvement Scale (GAIS) at three and six months, while safety was monitored throughout the study. Results: A total of 62 patients (32 Caucasian, 30 Asian; 19 males, 43 females; mean age: 36.6 years) completed the study. At three and six months, 46.8% showed at least a one-grade reduction in ASAS score with respect to the baseline. Patient-reported GAIS indicated that 54.8% perceived an improvement in scar appearance, aligning with investigator assessments. Only one mild, transient adverse event (wheal formation) occurred, which resolved spontaneously without intervention. Conclusions: In this real-world study, treatment with Polynucleotide High-Purification Technology (10 mg/mL) combined with HA (10 mg/mL) was associated with observable improvementin atrophic facial acne scars, with an excellent safety and tolerability profile. These findings support the potential of polynucleotide-based therapies for use as well-tolerated options for managing moderate-to-severe atrophic acne scarring, while the need for further controlled studies to confirm efficacy is also acknowledged."
A,13,Journal of Cutaneous and Aesthetic Surgery,A combined treatment for skin laxity using fillers and technologies associated: The sandwich protocol,2026,10.25259/jcas_154_2024,https://doi.org/10.25259/jcas_154_2024,open_access_cc_by_nc,body_contouring; combination_therapy; dermal_fillers; lasers_energy_devices; practice_safety; rf_microneedling_ultrasound; skin_quality_peels,clinical_gateway_source; safety_floor; sales_education_support; combination_observation,skin booster aesthetic,"Non-invasive facial and body contouring procedures have gained increasing attention from patients and physicians due to their proven effectiveness, minimal downtime, and lower risk of complications compared to invasive methods, such as plastic surgery. Microfocused ultrasound (MFU), injectable biostimulators – including poly-Llactic acid (PLLA) and calcium hydroxyapatite (CaHA) – and fractional radiofrequency microneedling (FRM) are widely employed for treating skin laxity, a prevalent concern in dermatology practice. Although the combination of these treatments in same-day sessions is regarded as safe and effective, there remains a significant gap in the literature assessing the simultaneous use of multiple technologies and injectable treatments for skin laxity and body contouring. We propose a “Sandwich Protocol,” which integrates MFU, injectable biostimulators (PLLA or CaHA), and FRM in a same-day session for the treatment of skin laxity. This protocol involves 1–4 sessions, spaced at least 30 days apart, with the number of sessions tailored to the severity of skin laxity and the patient’s financial considerations, given the high cost of these treatments. The sequential application of these techniques represents a comprehensive and individualized approach to addressing skin laxity and enhancing body contouring outcomes."
A,13,Journal of Cutaneous and Aesthetic Surgery,A comparative study to evaluate the safety and efficacy of low-dose isotretinoin monotherapy versus a combination of low-dose isotretinoin and superficial chemical peels in patients with moderate-to-severe acne vulgaris,2024,10.25259/jcas_70_24,https://doi.org/10.25259/jcas_70_24,open_access_cc_by_nc,combination_therapy; skin_quality_peels,clinical_gateway_source; safety_floor; sales_education_support; combination_observation; timing_maintenance,chemical peel photoaging,"Objectives: The aim of the study was to compare the safety and efficacy of low-dose isotretinoin (LDI) monotherapy versus a combination of LDI and superficial chemical peels in treating moderate-to-severe acne in patients attending tertiary care hospital. Material and Methods: Sixty patients in the age group of 15–45 years having moderate-to-severe acne vulgaris were enrolled in the study. The patients were randomly divided into two groups of 30 patients each by random table number method. Group A – patients were put on LDI (0.25 mg/kg body weight [wt]) for 3 months. Group B – LDI (0.25 mg/kg body weight) was started, and these patients were subjected to six sessions of sequential superficial chemical peels every fortnightly for 3 months. Results: Treatment outcome was measured in terms of improvement in global acne grading (GAG) score, pigmentation, scarring, and seborrhea. The mean GAG score at week 0 in Group A was 29.2 ± 5.03, and Group B was 26.7 ± 5.11. The mean GAG score at week 12 in Group A was 15.9 ± 5.09, and in Group B was 9.23 ± 3.24, which showed statistically significant improvement ( P < 0.001) in both groups. Post-inflammatory hyperpigmentation and erythema also improved significantly. There was no significant improvement in scarring, yet Group B showed a better response. The patient satisfaction score was high in Group B. Seborrhea improved equally in both groups. Conclusion: LDI gives a good balance between efficacy- and dose-related side effects. Both groups showed statistically significant results in terms of acne severity (global acne grading system (GAGS) W-0 26–29–W12 15– 9). Group B showed faster improvement than Group A."
