"#","Product A","Product B","Tier","Type","Strength","Same Session OK","G1","G2","G3","G4","G5","G6","G7","G8","Evidence Type","Clinical Rationale","Timing Guidance","Patient Education Text","Staff Talking Points","Evidence Summary","Decision","Notes"
"1","Botox Cosmetic","Juvederm Vollure XC","canonical","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","HIGH","Neurotoxin relaxes dynamic muscles; Vollure restores mid-depth volume (NLF). Published evidence supports the combination of BoNT-A with HA fillers as superior to either modality alone (DOI 10.1097/DSS.0000000000000754). Botox addresses movement-based lines that Vollure cannot treat, while Vollure addresses static volume loss that Botox cannot restore. Together they provide a more complete facial rejuvenation than either treatment alone.","Same session or sequential visits. Neurotoxin administered first. If sequential: neurotoxin 2 weeks before filler to see muscle response before filling static lines. Maintenance: neurotoxin every 3-4 months, filler every 12-18 months (product-dependent).","Tell the patient: ""Botox helps relax the muscles that cause expression lines -- like frown lines and crow's feet. But it can't address the deeper lines that stay even when your face is at rest -- like the lines that run from your nose to the corners of your mouth, or the moderate lines around your mouth area. Those are caused by volume loss, not muscle movement. Vollure is designed specifically for those nasolabial folds and moderate facial lines, softening them by restoring volume at the right depth. Many patients find that treating both the movement-based lines and these static lines creates a more complete, natural-looking result.""","""When a patient comes in concerned about looking tired or aged, you might explain: 'Botox can help with the lines around your eyes and forehead -- those are caused by muscle movement. But if you're also noticing deeper lines from your nose to the corners of your mouth -- those nasolabial folds -- those are caused by volume loss, which Botox can't address. Vollure is designed to soften those specific lines by restoring volume at the mid-depth level. Some patients choose to address both in the same visit, while others prefer to start with one and see how they feel.' The key is helping patients understand these are two different types of lines -- one from movement, one from volume loss -- not an upsell.""","PubMed DOI 10.1097/DSS.0000000000000754: BoNT-A and fillers combination is superior to either alone. FDA labels for both products. Expert consensus supports same-session use. Evidence strength 4/5.","",""
"2","Botox Cosmetic","Juvederm Voluma XC","canonical","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","HIGH","Neurotoxin relaxes dynamic muscles; Voluma restores deep cheek volume. Botox addresses movement-based lines (crow's feet, frown lines, forehead) while Voluma provides structural volume in the midface where bone and fat pad loss creates a hollow, aged appearance. Published evidence confirms that BoNT-A combined with HA fillers produces superior results to either modality alone (DOI 10.1097/DSS.0000000000000754). Together they address both the upper face (dynamic lines) and midface (volume loss).","Same session or sequential visits. Neurotoxin administered first. If sequential: neurotoxin 2 weeks before filler to see muscle response before filling static lines. Maintenance: neurotoxin every 3-4 months, Voluma every 18-24 months.","Tell the patient: ""Botox helps relax the muscles that cause expression lines -- like frown lines and crow's feet. But it can't restore the deep volume that's been lost over time in areas like the cheeks. If you're noticing that your cheeks look flatter or more hollow than they used to, that's a different kind of aging -- it's structural volume loss from bone and fat pad changes. Voluma is designed specifically to restore that deep cheek structure, giving back the lift and contour that supports the rest of your face. Many patients find that treating both the movement-based lines and the midface volume creates a more balanced, natural-looking result.""","""When a patient comes in concerned about looking tired or aged, you might explain: 'Botox can help with the lines around your eyes and forehead -- those are caused by muscle movement. But if you're also noticing that your cheeks look flatter or more hollow than they used to, that's structural volume loss in the midface, which Botox can't address. Voluma is designed for deep cheek restoration -- it provides the structural support that lifts and contours your midface. Some patients choose to address both in the same visit, while others prefer to start with one and see how they feel.' The key is helping patients understand these are two different problems at two different depths -- not an upsell.""","PubMed DOI 10.1097/DSS.0000000000000754: BoNT-A and fillers combination is superior to either alone. FDA labels for both products. Expert consensus. Evidence strength 4/5.","",""
"3","Botox Cosmetic","InMode Morpheus8","common","stacks_with","strong","conditional","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","HIGH","Morpheus8 RF microneedling improves skin texture, tightens skin, and stimulates collagen through controlled thermal energy in the dermis and subdermal layers. Botox controls dynamic wrinkles through muscle relaxation. These target fundamentally different tissue layers and aging mechanisms -- Morpheus8 addresses skin quality that neurotoxin cannot improve, while Botox addresses movement-based lines that energy devices cannot treat.","Energy device first, neurotoxin after. If same day: Morpheus8 first, wait for assessment, then neurotoxin. If sequential: Morpheus8 first, neurotoxin 1-2 weeks later when inflammation has resolved. Maintenance: Morpheus8 2-3x per year, neurotoxin every 3-4 months.","Tell the patient: ""Morpheus8 uses radiofrequency energy to improve your skin's texture, firmness, and overall quality from within. Botox addresses a completely different issue -- the lines caused by muscle movement, like crow's feet and frown lines. Energy treatments can't relax muscles, and Botox can't tighten skin. When both concerns are present, addressing them through different approaches can create a more complete improvement.""","""When a patient wants comprehensive facial rejuvenation, explain that there are multiple layers to aging. 'Morpheus8 works on your skin quality -- improving texture, firmness, and stimulating new collagen. Botox works on the dynamic lines caused by muscle movement. Think of it as addressing the skin itself and the muscles underneath it separately. We typically do the energy treatment first to improve the skin foundation, then address the movement lines.' This is about treating different problems, not adding treatments for the sake of adding them.""","PubMed DOI 10.1111/j.1524-4725.2005.31105: No decrease in botulinum toxin efficacy when treated with RF device within 10 minutes. FDA clearances for both products. Expert consensus on multi-modality protocols. Evidence strength 3/5.","",""
"4","Botox Cosmetic","Restylane Lyft","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PARTIAL","MODERATE","Neurotoxin relaxes dynamic muscles; Lyft restores midface/hand volume. Cross-brand combination (Allergan Botox + Galderma Restylane) demonstrates that the complementarity is mechanism-based, not brand-specific. Botox handles movement-based lines while Lyft provides structural volume restoration in the midface and hands, addressing two fundamentally different aspects of aging.","Same session or sequential visits. Neurotoxin administered first. If sequential: neurotoxin 2 weeks before filler to see muscle response before filling static lines. Maintenance: neurotoxin every 3-4 months, filler every 12-18 months (product-dependent).","Tell the patient: ""Botox helps relax the muscles that cause expression lines -- like frown lines and crow's feet. But it can't restore volume that's been lost over time. If you're noticing both lines from movement AND a loss of fullness in your cheeks or around your mouth, filler addresses that volume loss through a completely different approach. Many patients find that treating both concerns creates a more balanced, natural-looking result than treating either one alone.""","""When a patient comes in concerned about looking tired or aged, you might explain: 'Botox can help with the lines around your eyes and forehead -- those are caused by muscle movement. But if you're also noticing that your cheeks look flatter than they used to, that's volume loss, which Botox can't address. Filler works on a different layer to restore that structure. Some patients choose to address both in the same visit, while others prefer to start with one and see how they feel.' The key is helping patients understand these are two different problems requiring two different solutions -- not an upsell.""","No product-specific evidence for this cross-brand pair. PubMed DOI 10.1097/DSS.0000000000000754 (category-level). FDA labels for both. Evidence strength 3/5 (extrapolated from category).","",""
"5","Botox Cosmetic","RHA Redensity","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PARTIAL","MODERATE","Neurotoxin relaxes dynamic muscles (upper face); RHA Redensity addresses perioral fine lines with flexible HA designed for dynamic areas around the mouth. The two treatments target complementary anatomical zones -- Botox for forehead, crow's feet, and frown lines, while RHA Redensity softens the fine static lines around the lips that neurotoxin cannot treat. Together they provide comprehensive facial rejuvenation.","Same session or sequential visits. Neurotoxin administered first. If sequential: neurotoxin 2 weeks before filler to see muscle response before filling static lines. Maintenance: neurotoxin every 3-4 months, filler every 6-12 months (perioral area may need more frequent touch-ups).","Tell the patient: ""Botox helps relax the muscles that cause expression lines -- like frown lines and crow's feet. But it can't address the fine lines around your lips, which are caused by a combination of repeated movement and lost support in the skin. RHA Redensity is a flexible filler designed specifically for that area around the mouth -- it moves with your expressions rather than fighting them. Many patients find that treating both the upper face lines and the perioral area creates a more complete, natural-looking result.""","""When a patient comes in concerned about fine lines both around the eyes and around the mouth, you might explain: 'Botox can help with the crow's feet and forehead lines -- those are caused by muscle movement. But the lines around your lips are different -- they need a filler that can move with your expressions. RHA Redensity is designed for that dynamic area. Some patients choose to address both in the same visit, while others prefer to start with one area and see how they feel.' The key is helping patients understand these are two different problems in two different zones -- not an upsell.""","No product-specific evidence for Botox+RHA Redensity. PubMed DOI 10.1097/DSS.0000000000000754 (category-level). FDA labels for both. Evidence strength 3/5 (extrapolated from category).","",""
"6","Botox Cosmetic","SKINVIVE by Juvederm","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PARTIAL","LOW","Neurotoxin relaxes dynamic muscles; SKINVIVE improves skin quality via microdroplet HA injection. These target fundamentally different aspects of facial aging -- Botox addresses movement-caused lines while SKINVIVE addresses skin texture, hydration, and overall quality that neurotoxin cannot improve. The combination provides both line reduction and skin quality enhancement.","Same session or sequential visits. Neurotoxin administered first. If sequential: neurotoxin 2 weeks before SKINVIVE. Maintenance: neurotoxin every 3-4 months, SKINVIVE every 6-9 months.","Tell the patient: ""Botox helps relax the muscles that cause expression lines -- like frown lines and crow's feet. But even when those lines are smoothed, your skin might still look dull or feel rough. SKINVIVE is different from traditional fillers -- it doesn't add volume. Instead, it uses tiny microdroplets of hyaluronic acid to hydrate the skin from within, improving cheek skin smoothness that lasts about six months. One addresses the lines, the other improves the skin itself.""","""When a patient is focused on looking refreshed, you might explain: 'Botox can help with the expression lines -- frown lines, crow's feet, forehead. But some patients tell us even after Botox, their skin still doesn't look as vibrant as they'd like. SKINVIVE isn't a filler in the traditional sense -- it doesn't add volume or fill wrinkles. It hydrates the skin from within using microdroplets, improving cheek skin smoothness.' The key is being clear that SKINVIVE and Botox solve completely different problems -- lines vs. skin quality.""","No product-specific evidence for Botox+SKINVIVE. SKINVIVE is microdroplet skin quality product, not traditional filler. FDA labels for both. Evidence strength 2/5.","",""
"7","Daxxify","Juvederm Vollure XC","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","MODERATE","Daxxify uses peptide exchange technology to achieve approximately 6-month duration -- roughly double that of traditional neurotoxins -- reducing annual neurotoxin visits from 3-4 to approximately 2. It contains no human or animal byproducts. Vollure's VYCROSS-crosslinked HA addresses nasolabial folds and moderate facial lines with an 18-month duration. The maintenance schedules align well. This is a cross-ecosystem pairing (Revance + Allergan).","Same session or sequential visits. Neurotoxin administered first, filler second. If sequential: Daxxify 2 weeks before Vollure to assess muscle response. Daxxify retreatment approximately every 6 months; Vollure touch-ups at 12-18 months.","Tell the patient: ""Daxxify is a newer neurotoxin that uses a unique peptide technology that helps it last longer -- about six months for many patients. Vollure is a filler designed specifically for the nasolabial fold lines and typically lasts about 18 months. If you're noticing both expression lines and those deeper smile-line folds, Daxxify addresses the movement-based lines while Vollure addresses the volume-based lines.""","""The key differentiator with Daxxify is duration. 'Daxxify uses a peptide technology that helps it last about six months -- so instead of coming in three or four times a year for your wrinkle relaxer, you may only need two visits. Vollure addresses the deeper lines around your nose and mouth, and it typically lasts about 18 months.' Note: Daxxify is Revance and Vollure is Allergan -- different loyalty programs.""","PubMed DOI 10.1097/DSS.0000000000000754 (category-level). FDA labels for both. Daxxify: peptide exchange technology, ~6-month duration. Vollure: VYCROSS crosslinking, 18-month duration.","",""
"8","Daxxify","Juvederm Voluma XC","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","MODERATE","Daxxify (~6-month duration via peptide exchange technology) combined with Voluma (up to 2-year duration via VYCROSS crosslinking) creates a long-duration treatment plan for both dynamic wrinkles and structural cheek volume loss. Voluma is a structural filler injected deep in the cheeks -- typically placed first in multi-filler protocols. This is a cross-ecosystem pairing (Revance + Allergan).","Same session or sequential visits. Neurotoxin administered first, filler second. If sequential: Daxxify 2 weeks before Voluma. Daxxify approximately every 6 months, Voluma every 18-24 months.","Tell the patient: ""Daxxify is a longer-lasting wrinkle relaxer -- it uses a unique peptide technology that helps it work for about six months. Voluma is a structural filler designed specifically for the cheeks and can last up to two years. If you're noticing both expression lines and a loss of cheek fullness, these two products address different concerns.""","""This pairing is worth understanding for patients who value convenience and longer-lasting results. Daxxify relaxes expression lines and lasts about six months. Voluma restores cheek structure and can last up to two years. This is a cross-brand pairing (Revance + Allergan), so loyalty programs don't overlap.""","PubMed DOI 10.1097/DSS.0000000000000754 (category-level). FDA labels for both. Daxxify: peptide exchange technology, ~6-month duration. Voluma: VYCROSS crosslinking, up to 2-year duration.","",""
"9","Daxxify","Restylane Lyft","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","MODERATE","Daxxify's peptide exchange technology provides approximately 6-month duration with no human or animal byproducts, while Restylane Lyft's NASHA-technology HA has a unique dual FDA indication for both midface volume and hands. The hand volume indication is unique among HA fillers. This is a cross-ecosystem pairing (Revance + Galderma).","Same session or sequential visits. Neurotoxin administered first, filler second. If sequential: Daxxify 2 weeks before Restylane Lyft. If treating hands, timing is independent of facial neurotoxin effects. Daxxify approximately every 6 months; Restylane Lyft at 12-18 months.","Tell the patient: ""Daxxify is a longer-lasting wrinkle relaxer that uses a unique peptide technology -- it works for about six months. Restylane Lyft is a filler approved for both midface volume and hands. If you're noticing expression lines along with cheek hollowing or aging hands, these two treatments address completely different concerns.""","""Two things to highlight: Daxxify's duration (about six months, so about twice a year for wrinkle relaxer) and Restylane Lyft's versatility (dual FDA approval for midface and hands). Note: Daxxify is Revance and Lyft is Galderma -- different loyalty programs.""","PubMed DOI 10.1097/DSS.0000000000000754 (category-level). FDA labels for both. Daxxify: peptide exchange technology, ~6-month duration. Restylane Lyft: NASHA technology, dual FDA indication (midface + hands).","",""
"10","Daxxify","RHA Redensity","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","MODERATE","Daxxify and RHA Redensity are both Revance products, creating ecosystem alignment. Daxxify's peptide exchange technology provides ~6-month duration, while RHA Redensity uses resilient HA designed specifically for perioral fine lines and dynamic facial areas. RHA Redensity is a ""finishing filler"" for areas of constant movement. Same ecosystem means loyalty program alignment.","Same session or sequential visits. Neurotoxin administered first, filler second. If sequential: Daxxify 2 weeks before RHA Redensity. RHA Redensity is typically a finishing step. Daxxify approximately every 6 months.","Tell the patient: ""Daxxify is a longer-lasting wrinkle relaxer -- about six months for many patients. The fine lines around your mouth are a different concern -- RHA Redensity is a specialized filler designed for exactly those delicate lines. It uses a resilient formula that flexes with your natural expressions. Both products are made by Revance.""","""This is a same-ecosystem pairing -- both Revance products, so patients benefit from a single loyalty program. Daxxify addresses expression lines (~6 months duration). RHA Redensity is a specialized filler for perioral fine lines -- designed to move with expressions.""","PubMed DOI 10.1097/DSS.0000000000000754 (category-level). FDA labels for both. Daxxify: peptide exchange technology, ~6-month duration. RHA Redensity: resilient HA for dynamic perioral areas.","",""
